poly,avg_pagerank
1,0.0017721941588519337
2,0.0011050380096743612
3,0.0011494866705845678
4,0.0011253604046492709
5,0.0024475298323048426
6,0.0019541631296701297
7,0.0014150903588863316
8,0.006198564019517137
9,0.0007436971290758872
10,0.00218050085851773
11,0.0010339355355722555
12,0.006855901944450624
13,0.0028449852716236597
14,0.0034004656767710147
15,0.0011550876040406022
16,0.006575801136324841
17,0.0018407211175930907
18,0.0041212153052174825
19,0.001484163936395229
20,0.0012842115418361666
21,0.0010349676661722612
22,0.0040569686945643195
23,0.0007545958981004361
24,0.0024041871832144756
25,0.003394603263423821
26,0.001799168589817169
27,0.005867424348989849
28,0.0037032803947611988
29,0.0015138297353918203
30,0.002528774861805929
31,0.0011687134416820707
32,0.0029024376890405697
33,0.0011062963909146157
34,0.0025600914663690614
35,0.0031078623928245293
36,0.0013194259950755302
37,0.006329072611354483
38,0.0019282331472210547
39,0.0019397285836170316
40,0.0015384287231191252
41,0.0023407539230029186
42,0.006196277033627994
43,0.0020154124233557084
44,0.0014964193298408123
45,0.0012313033149995848
46,0.0021305925288651727
47,0.0021859299600632794
48,0.00523138260913465
49,0.001997604432443455
50,0.0007941795913722921
51,0.0014633301141339415
52,0.0012175337627715651
53,0.0031989151504490444
54,0.0009477534823573423
55,0.0026436058860501194
56,0.0038421717963969463
57,0.0014063379149528274
58,0.006827109491148509
59,0.01726338152930892
60,0.0032644952008204177
61,0.006998343305136454
62,0.001458281373528719
63,0.0033283225200151324
64,0.000547615644234874
65,0.002637736750859071
66,0.0012235201931009058
67,0.0014376598047241645
68,0.0023284898716094005
69,0.0024504782547418494
70,0.004180041542266178
71,0.006576116451898596
72,0.0006591174422545425
73,0.0026616787141658877
74,0.00645532365525485
75,0.0021067881681430083
76,0.0011922459447008338
77,0.003834143315612696
78,0.0028309821219054863
79,0.005849146154953706
80,0.005330001471015412
81,0.0028653395650375057
82,0.0018284423796855712
83,0.002060118613912922
84,0.0030700653517173665
85,0.006640800772176855
86,0.005921432349340679
87,0.0029158638608620794
88,0.0015692018269202073
89,0.0018993790777989562
90,0.002854630288771353
