poly,avg_core_num
1,261.43692774566455
2,82.16809478306614
3,219.76242642336936
4,129.4342334814629
5,325.6228553273709
6,417.89732829904835
7,208.22517481332255
8,1046.345574169742
9,29.982314806585478
10,500.13865724303224
11,80.51701516717904
12,1401.9306006749193
13,319.3137215979032
14,772.3572554440162
15,120.74522951489031
16,1386.3707237672095
17,367.76566644419347
18,789.2141693668066
19,189.07721818143872
20,185.66215595278868
21,85.54909533813067
22,1099.8966039525483
23,44.824769428988716
24,379.6526050105807
25,471.23135105225805
26,417.1987949126775
27,583.0928676964355
28,685.368513343597
29,285.0198428386613
30,262.6877631434726
31,176.6705423290258
32,260.21513373672576
33,147.71066270261775
34,428.7878420687419
35,461.97842666830644
36,165.83274243243548
37,971.7946811596935
38,312.3574087658871
39,386.1961455805807
40,250.84381273362584
41,514.8511382504194
42,1150.0740828306937
43,236.75031834199507
44,237.83051819138876
45,150.20046822063867
46,196.49813689724033
47,577.7417894912904
48,1018.4945337475807
49,391.67970081932253
50,33.48900140049356
51,185.51105774246938
52,166.78639741453387
53,634.5477315994839
54,89.34121388438226
55,444.52053117964516
56,1031.1822221355324
57,100.28189255867744
58,881.2037076373388
59,1412.1962839524194
60,415.9811319912581
61,1064.19625776
62,183.2338710009936
63,415.9811319912581
64,8.584938813555969
65,275.4119964230645
66,120.9002970155516
67,238.82836204570646
68,198.0780651228597
69,452.76070467304845
70,287.2937017262049
71,749.3755120527904
72,41.63862999304677
73,208.36242631567902
74,750.0635250821132
75,460.737340395113
76,189.0660806749822
77,516.5142898245807
78,453.9411854521614
79,1045.1059954933548
80,972.7212944255
81,415.4802009263549
82,199.23496698556613
83,324.78225997929036
84,415.5523171534839
85,872.5899325909678
86,1044.3008443870808
87,442.0613089994193
88,259.8928623334774
89,196.88929878813386
90,465.7489537195161
91,81.1433381293129
92,222.2516558744791
93,296.2690490854935
94,499.84466005683873
95,432.9218627655806
96,1257.6380032953548
97,287.117916200371
98,175.96931464724997
99,1173.4594137013871
100,1200.9627553758876
101,303.16166579208226
102,647.3749759013549
103,195.63735962698553
104,471.52345456464525
105,433.1728133057742
106,897.3598294523872
107,749.3755120527904
108,199.5269672752822
109,488.9560912505001
110,136.38249370128227
111,103.87272934350969
112,907.1323400967094
113,355.3200354798711
114,447.44228374198394
115,321.93882650227414
116,360.1797984985
117,374.2603058895806
118,230.31374802254192
119,488.52500274816134
120,499.84466005683873
121,488.9560912505001
122,341.0320499338871
123,207.7094269085177
124,163.49686204965002
125,458.57774289351613
126,879.4652040587259
127,564.1420482468708
128,613.1707959712419
129,321.89723293291934
130,180.43415298064514
131,1071.4527749835809
132,394.33078666932266
133,461.97842666830644
134,404.0811454576613
135,176.3600654477113
136,483.2296727816774
137,174.91433748301452
138,1177.9331249798713
139,133.24202608134195
140,867.8106140977903
141,490.6818025313548
142,1196.1086900262421
143,619.0635410094518
144,637.5028462246776
145,612.5871172891934
146,672.0609976025645
147,160.7916125878613
148,295.5101276826935
149,847.3752671309034
150,406.2623819355646
151,366.97584151938713
152,321.3443866772258
153,232.0589193542758
154,181.9021797241984
155,779.7782848333549
156,392.6501450205484
157,519.7106395091613
158,377.50146640580647
159,877.3561133348874
160,443.68284648598393
161,160.20107110259036
162,906.0595252962256
163,701.2014093378386
164,249.28036471558067
165,915.741418433758
166,337.6056195153226
167,217.8773139597597
168,31.124582995651615
169,120.74522951489031
170,395.7965585818548
171,1410.1118529526614
172,226.64392343741454
173,204.54672715271295
174,79.55546205120163
175,1405.9431275177906
176,179.52805510894356
177,1363.0767478831128
178,488.9560912505001
179,638.7277141221612
180,197.8672512914
181,369.6603466256613
182,184.56807084278384
183,789.9070201271776
184,653.6167698821936
185,385.4052631575968
186,616.3929689909676
187,394.53646127796776
188,382.7373038109516
189,1133.182430742871
190,197.85945825837095
191,787.2974758786291
192,167.21392127224195
193,222.6919317389032
194,293.98233977587745
