poly,avg_betcent,avg_degree,avg_w_degree,avg_pagerank
1,0.0002758328336910521,20,337.6158361091173,0.0017721941588519335
2,0.00036599616074073566,24,102.63965549042784,0.0011050380096743614
3,0.0002261845007905772,25,221.19758564698205,0.0011494866705845678
4,0.0005613741239059186,28,137.82603776082559,0.0011253604046492706
5,0.0019130738000392048,48,497.6912918489714,0.0024475298323048426
6,0.001296315046139748,37,473.92857024298723,0.0019541631296701297
7,0.0003977511032940072,24,224.6976982290085,0.0014150903588863314
8,0.023458083019325532,127,2098.5789507010504,0.006198564019517136
9,0.00018866991977187293,18,30.204595087483906,0.0007436971290758872
10,0.00030023382927771335,24,611.4568900166879,0.00218050085851773
11,0.0003404739314317133,21,88.28583061596159,0.0010339355355722557
12,0.00047252212685154426,21,2923.483434688508,0.006855901944450624
13,0.00034731515583775134,18,453.24660964938147,0.00284498527162366
14,0.0005468127171878487,24,1155.0372653746513,0.0034004656767710147
15,0.0005831628114517683,27,131.49717915363814,0.0011550876040406024
16,0.000536875716816613,31,2825.628499632943,0.00657580113632484
17,0.0005325699021895972,27,378.1356404497786,0.0018407211175930907
18,0.0010354491964301132,32,1378.711450129971,0.0041212153052174825
19,0.0003826117795044212,23,212.53729953640843,0.0014841639363952289
20,0.0002650561480823569,14,200.237101392073,0.0012842115418361664
21,0.0006691848907275823,25,87.41565643327675,0.0010349676661722614
22,0.0004132559809903561,33,1582.9129963156051,0.00405696869456432
23,0.0010857288484163632,32,45.35005468673428,0.0007545958981004361
24,0.0013579325870381755,40,586.5803460040947,0.002404187183214476
25,0.0011424624611666243,37,821.0065878938586,0.003394603263423821
26,0.0005848871184511661,31,500.52558635867996,0.0017991685898171691
27,0.004748920284351207,63,1271.2076616833267,0.00586742434898985
28,0.0016221370064503976,45,1144.8036068689835,0.003703280394761199
29,0.0002213640906740836,18,302.55307122697633,0.0015138297353918205
30,0.0017702798785568707,37,401.0831417439875,0.002528774861805929
31,0.00028747596325804503,22,178.46809669865817,0.0011687134416820707
32,0.003910667701591266,41,495.21311074179715,0.0029024376890405697
33,0.0002419607674877411,23,150.86465613015184,0.0011062963909146157
34,0.0023787100057669976,46,631.6874331121824,0.002560091466369061
35,0.0015744347404300376,37,718.4213837607091,0.003107862392824529
36,0.0007346525944634223,34,205.53673956844275,0.0013194259950755304
37,0.013626146576606312,94,2079.777465866402,0.0063290726113544825
38,0.0015888933486488596,46,400.10380373242305,0.0019282331472210547
39,0.001005752412086096,40,493.4659150018191,0.001939728583617032
40,0.0029382776539892373,44,283.38389854017424,0.0015384287231191252
41,0.0013212218004743852,44,690.5647457592322,0.0023407539230029186
42,0.007986686843723943,91,2540.13532038422,0.006196277033627994
43,0.001772670077554963,41,317.42624511203394,0.0020154124233557084
44,0.0008900158257831619,38,275.5917678135796,0.0014964193298408126
45,0.0009515120452259504,31,160.2167875718585,0.0012313033149995848
46,0.001377264845923042,34,257.3734841744342,0.0021305925288651727
47,0.0008463696322401097,46,654.9655936486263,0.00218592996006328
48,0.010806837106320674,95,1943.8240057421049,0.00523138260913465
49,0.001886725073708314,39,468.3043405822012,0.0019976044324434552
50,0.0001994675886621453,19,36.813751871569686,0.0007941795913722921
51,0.0008264103462877808,32,222.81294066354945,0.0014633301141339413
52,0.0005384997770618604,28,173.28995835109515,0.0012175337627715653
53,0.004570722224101249,62,1008.0758881506613,0.0031989151504490444
54,0.001214549310276917,34,90.23987794641931,0.0009477534823573424
55,0.0010103926496821966,31,645.2076982862197,0.0026436058860501194
56,0.0037522977748507273,69,1390.2165080060608,0.0038421717963969455
57,0.0008971370294731272,32,120.58781802934736,0.0014063379149528276
58,0.018858385046452018,116,2229.9800436370624,0.0068271094911485095
59,0.12422849040827942,216,6783.141837162872,0.017263381529308917
60,0.0018787383045681906,42,657.5944696205822,0.0032644952008204177
61,0.02562160170874424,124,2574.8855875253776,0.006998343305136454
62,0.0009217756822684855,33,237.39384888562043,0.0014582813735287189
63,0.002382582470033832,45,694.0941557222673,0.0033283225200151324
64,0.00021583218067439694,20,8.584938813554688,0.000547615644234874
65,0.003641410903291515,57,461.822801387412,0.002637736750859071
66,0.0010674862458157903,34,139.99146955118027,0.0012235201931009056
67,0.0007598926618413293,33,257.5817389883785,0.0014376598047241645
68,0.002071668893596173,41,305.16433939395205,0.0023284898716094005
69,0.002515213177187326,46,619.0992490594547,0.002450478254741849
70,0.007085582148312608,60,697.3569373487672,0.004180041542266178
71,0.014377181098816744,85,1979.0263074197494,0.006576116451898596
72,9.97075017438039e-05,17,41.647868431166785,0.0006591174422545425
73,0.004064748172752047,46,342.00625018962126,0.002661678714165888
74,0.02379519473078726,105,1983.5761483519384,0.00645532365525485
75,0.002081621143064276,52,622.4053055968091,0.0021067881681430087
76,0.0014282368274445918,39,209.08160099316063,0.0011922459447008338
77,0.0049305020106035395,52,988.3479634389743,0.003834143315612696
78,0.005357735992066309,49,657.5367418182309,0.0028309821219054863
79,0.017042471536784766,110,1930.950673095336,0.0058491461549537065
80,0.012764314182399214,105,1920.3426699638248,0.005330001471015412
81,0.0011877879900635561,35,599.4576362402072,0.0028653395650375057
82,0.0012739240533075563,37,240.9520778250697,0.0018284423796855712
83,0.002014052014646426,45,404.80192612930574,0.002060118613912922
84,0.00386708223503129,51,644.0559946702988,0.0030700653517173665
85,0.03518941578330423,139,1945.5906083250607,0.006640800772176855
86,0.01701455484186043,119,2227.4726396396927,0.005921432349340679
87,0.0033778217771216245,53,684.6440815839918,0.00291586386086208
88,0.0019287998525880832,44,308.4925352546685,0.0015692018269202073
89,0.002500882256346844,41,249.61839861224468,0.001899379077798956
90,0.0062787325396106465,70,798.2014812088191,0.002854630288771353
91,0.0004708257400229294,24,84.67520240084208,0.0011298755545874168
92,0.004054813199424532,57,376.12647731617926,0.002486427792050026
93,0.009366066896962387,73,711.6826270821359,0.004122874000803917
94,0.006336030625483529,68,980.4146609096796,0.00382744010866568
95,0.0048911463199743065,61,963.4494601678807,0.004287444559048832
96,0.039576637920227864,149,3210.998939623762,0.007712729147026054
97,0.004075897416061156,49,417.4898826290174,0.0024044518050057037
98,0.0008252050443631352,31,184.40532252222468,0.0012489109748667127
99,0.05166875654393872,164,3571.3378273961907,0.010302742709788044
100,9.300470918255344e-05,17,1626.3100754775141,0.004030146651820045
101,0.00011750302004101362,16,443.50461977398925,0.0028476199002920623
102,0.00022816115121696557,16,1844.02519781204,0.006302389533253526
103,0.000533324525791954,20,219.12614094649535,0.0016646101843728564
104,0.00015008563750876824,17,814.1979849703371,0.0033003836291411195
105,0.0002457557103613023,18,513.0647446122258,0.0021894459669033924
106,0.00033364327779266664,22,1601.2065881734509,0.004413125533103063
107,0.00020544952900841104,18,1377.2051030937535,0.004512402713123676
108,0.0004095717814050263,21,285.56733986428816,0.002342616119055533
109,0.00016857619704554205,21,1551.901092883467,0.006113051602636096
110,0.0006823088334328878,21,168.98622550985522,0.0012857923239917564
111,0.0004317056460965112,22,104.41683756834342,0.0010265039249896973
112,0.00010724640903063314,16,1640.9805617555182,0.005565516705187431
113,0.00043632504216752766,22,416.78092947709837,0.0018842772976219789
114,0.00026383196006375697,18,863.3873345914093,0.0038800327120451865
115,0.00011172894611676035,15,719.5518595443801,0.004259278905245658
116,0.00034009334124061023,21,605.4395002701858,0.002902933390791977
117,0.0002931218778723233,20,644.5725640566808,0.003254319562163248
118,0.000391120442730057,19,285.29195653911245,0.001634876821613899
