poly,avg_betcent
1,0.0002758328336910521
2,0.0003659961607407356
3,0.00022618450079057718
4,0.0005613741239059186
5,0.0019130738000392052
6,0.001296315046139748
7,0.0003977511032940072
8,0.02345808301932553
9,0.00018866991977187293
10,0.00030023382927771335
11,0.0003404739314317133
12,0.00047252212685154426
13,0.00034731515583775134
14,0.0005468127171878487
15,0.0005831628114517684
16,0.0005368757168166131
17,0.0005325699021895972
18,0.0010354491964301134
19,0.00038261177950442123
20,0.0002650561480823569
21,0.0006691848907275822
22,0.00041325598099035624
23,0.0010857288484163634
24,0.0013579325870381757
25,0.0011424624611666245
26,0.000584887118451166
27,0.004748920284351207
28,0.0016221370064503976
29,0.0002213640906740836
30,0.0017702798785568707
31,0.000287475963258045
32,0.003910667701591266
33,0.0002419607674877411
34,0.0023787100057669976
35,0.0015744347404300376
36,0.0007346525944634223
37,0.013626146576606312
38,0.0015888933486488596
39,0.001005752412086096
40,0.002938277653989237
41,0.0013212218004743852
42,0.007986686843723943
43,0.0017726700775549627
44,0.0008900158257831619
45,0.0009515120452259504
46,0.0013772648459230421
47,0.0008463696322401096
48,0.010806837106320674
49,0.001886725073708314
50,0.00019946758866214533
51,0.0008264103462877808
52,0.0005384997770618603
53,0.004570722224101249
54,0.0012145493102769173
55,0.0010103926496821966
56,0.0037522977748507273
57,0.0008971370294731271
58,0.01885838504645202
59,0.12422849040827942
60,0.0018787383045681908
61,0.02562160170874424
62,0.0009217756822684855
63,0.0023825824700338316
64,0.00021583218067439697
65,0.003641410903291515
66,0.0010674862458157903
67,0.0007598926618413292
68,0.0020716688935961724
69,0.002515213177187326
70,0.007085582148312608
71,0.014377181098816744
72,9.97075017438039e-05
73,0.004064748172752047
74,0.02379519473078726
75,0.002081621143064276
76,0.0014282368274445918
77,0.0049305020106035395
78,0.005357735992066309
79,0.017042471536784766
80,0.012764314182399214
81,0.001187787990063556
82,0.0012739240533075566
83,0.002014052014646426
84,0.0038670822350312904
85,0.03518941578330423
86,0.01701455484186043
87,0.0033778217771216245
88,0.0019287998525880832
89,0.0025008822563468438
90,0.006278732539610646
91,0.0004708257400229294
92,0.004054813199424531
93,0.009366066896962387
94,0.006336030625483529
95,0.0048911463199743065
96,0.03957663792022786
97,0.004075897416061156
98,0.0008252050443631352
99,0.05166875654393872
100,9.300470918255345e-05
